FID,x,y,prb,old_pt,id,POINT_X,POINT_Y,Flow,Panel,Wshed,Order_100K
36,7615341.000000188100000,710213.393044788160000,0.000293579770230,1473.000000000000000,0185,-122.792453236000000,45.591882415199997,Intermittent,2,Willamette Streams,1
37,7632613.512818818900000,674606.733763906170000,0.000293579770230,0.000000000000000,0234,-122.721180789000000,45.495586760000002,Perennial,2,Fanno Creek,1
38,7613933.109028615100000,708506.167490405500000,0.000293579770230,0.000000000000000,0297,-122.797761221000000,45.587092354699998,Intermittent,2,Willamette Streams,1
39,7681469.890304043900000,664225.674096230420000,0.000293579770230,0.000000000000000,0380,-122.529692064000000,45.470649224399999,Intermittent,2,Johnson Creek,1
40,7683807.259002771200000,660811.005940889940000,0.000293579770230,0.000000000000000,0428,-122.520250751000010,45.461447360599998,Intermittent,2,Johnson Creek,1
41,7698550.704680037700000,670212.937247674330000,0.000293579770230,1032.000000000000000,0444,-122.463695849999990,45.488223214300000,Perennial,2,Johnson Creek,2
42,7640427.083464901900000,662035.126771997430000,0.000293579770230,0.000000000000000,0464,-122.689391910000000,45.461704250799997,Intermittent,2,Tryon Creek,1
43,7629673.531465766000000,657505.985363598210000,0.000293579770230,0.000000000000000,0498,-122.730800641000000,45.448479976100003,Perennial,2,Fanno Creek,1
44,7680251.572335102600000,698148.398822215500000,0.000293579770230,0.000000000000000,0513,-122.537774689000000,45.563574776899998,Perennial,2,Columbia Slough,2
45,7628349.375297503500000,690000.187272503390000,0.000293579770230,1286.000000000000000,0526,-122.739467653000010,45.537467163899997,Perennial,2,Willamette Streams,1
46,7666417.833366505800000,702422.030521948360000,0.000293579770230,0.000000000000000,0529,-122.592202554000000,45.574322320699999,Perennial,2,Columbia Slough,2
47,7652552.690366158300000,660445.843579292410000,0.000293579770230,887.000000000000000,0544,-122.641984654000000,45.458238242800000,Perennial,2,Johnson Creek,2
48,7618523.046682003000000,689918.013716837970000,0.000293579770230,1284.000000000000000,0554,-122.777792678000000,45.536488539499999,Perennial,2,Tualatin River,1
49,7643815.475034523800000,652819.745156284190000,0.000293579770230,0.000000000000000,0592,-122.675223493999990,45.436689173700003,Perennial,2,Tryon Creek,1
50,7614393.011123847200000,715753.651387506160000,0.000293579770230,0.000000000000000,0633,-122.796770204000000,45.606997234799998,Perennial,2,Willamette Streams,1
51,7636540.758037794400000,681977.617517281670000,0.000293579770230,0.000000000000000,0698,-122.706655928000000,45.516090329000001,Intermittent,2,Willamette Streams,1
52,7660078.401246727400000,704233.646981626750000,0.000293579770230,1400.000000000000000,0705,-122.617136460000000,45.578836344000003,Perennial,2,Columbia Slough,2
53,7645789.048503609400000,658909.584201243710000,0.000293579770230,0.000000000000000,0720,-122.668174248000000,45.453531425100003,Perennial,2,Willamette Streams,1
54,7688555.540919771400000,657397.377240685750000,0.000293579770230,0.000000000000000,0732,-122.501420483999990,45.452411725600001,Intermittent,2,Johnson Creek,1
55,7632928.987439987200000,672285.083316241270000,0.000293579770230,1072.000000000000000,0746,-122.719702230000000,45.489245356600001,Perennial,2,Fanno Creek,1
56,7635499.401246727400000,660253.597112864260000,0.000293579770230,883.000000000000000,0754,-122.708400643000000,45.456452017799997,Perennial,2,Tryon Creek,1
57,7631687.070646911900000,686353.504129262180000,0.000293579770230,0.000000000000000,0762,-122.726054456000000,45.527722301499999,Perennial,2,Willamette Streams,1
58,7678748.023369976300000,698452.268528445390000,0.000293579770230,1354.000000000000000,0769,-122.543673435000000,45.564303766099997,Perennial,2,Columbia Slough,2
59,7629079.865240506800000,686018.259215231980000,0.000293579770230,0.000000000000000,0826,-122.736187775000000,45.526605736699999,Intermittent,2,Willamette Streams,1
60,7682622.145010354900000,664344.302508055350000,0.000293579770230,943.000000000000000,0828,-122.525213436000000,45.471053785499997,Perennial,2,Johnson Creek,1
